fecha;const_1T_17;const_2T_17;const_3T_17;const_4T_17;const_1T_18;const_2T_18
I 1997*;92,8;92,8;92,8;92,8;92,8;92,8
II 1997*;112,7;112,7;112,7;112,7;112,7;112,7
III 1997*;111,3;111,3;111,3;111,3;111,3;111,3
IV 1997*;116,0;116,0;116,0;116,0;116,0;116,0
I 1998*;101,8;101,8;101,8;101,8;101,8;101,8
II 1998*;109,5;109,5;109,5;109,5;109,5;109,5
III 1998*;123,4;123,4;123,4;123,4;123,4;123,4
IV 1998*;142,8;142,8;142,8;142,8;142,8;142,8
I 1999*;118,2;118,2;118,2;118,2;118,2;118,2
II 1999*;123,5;123,5;123,5;123,5;123,5;123,5
III 1999*;126,1;126,1;126,1;126,1;126,1;126,1
IV 1999*;122,0;122,0;122,0;122,0;122,0;122,0
I 2000*;112,5;112,5;112,5;112,5;112,5;112,5
II 2000*;108,1;108,1;108,1;108,1;108,1;108,1
III 2000*;109,9;109,9;109,9;109,9;109,9;109,9
IV 2000*;119,7;119,7;119,7;119,7;119,7;119,7
I 2001*;96,8;96,8;96,8;96,8;96,8;96,8
II 2001*;103,8;103,8;103,8;103,8;103,8;103,8
III 2001*;100,7;100,7;100,7;100,7;100,7;100,7
IV 2001*;111,1;111,1;111,1;111,1;111,1;111,1
I 2002*;83,7;83,7;83,7;83,7;83,7;83,7
II 2002*;93,8;93,8;93,8;93,8;93,8;93,8
III 2002*;75,1;75,1;75,1;75,1;75,1;75,1
IV 2002*;84,6;84,6;84,6;84,6;84,6;84,6
I 2003*;70,7;70,7;70,7;70,7;70,7;70,7
II 2003*;77,3;77,3;77,3;77,3;77,3;77,3
III 2003*;80,2;80,2;80,2;80,2;80,2;80,2
IV 2003*;99,1;99,1;99,1;99,1;99,1;99,1
I 2004*;78,6;78,6;78,6;78,6;78,6;78,6
II 2004*;84,6;84,6;84,6;84,6;84,6;84,6
III 2004*;85,3;85,3;85,3;85,3;85,3;85,3
IV 2004*;100,4;100,4;100,4;100,4;100,4;100,4
I 2005*;85,1;85,1;85,1;85,1;85,1;85,1
II 2005*;98,1;98,1;98,1;98,1;98,1;98,1
III 2005*;99,9;99,9;99,9;99,9;99,9;99,9
IV 2005*;116,9;116,9;116,9;116,9;116,9;116,9
I 2006*;100,8;100,8;100,8;100,8;100,8;100,8
II 2006*;103,6;103,6;103,6;103,6;103,6;103,6
III 2006*;105,6;105,6;105,6;105,6;105,6;105,6
IV 2006*;118,2;118,2;118,2;118,2;118,2;118,2
I 2007*;99,9;99,9;99,9;99,9;99,9;99,9
II 2007*;114,6;114,6;114,6;114,6;114,6;114,6
III 2007*;115,8;115,8;115,8;115,8;115,8;115,8
IV 2007*;137,8;137,8;137,8;137,8;137,8;137,8
I 2008*;105,3;105,3;105,3;105,3;105,3;105,3
II 2008*;120,4;120,4;120,4;120,4;120,4;120,4
III 2008*;122,2;122,2;122,2;122,2;122,2;122,2
IV 2008*;132,6;132,6;132,6;132,6;132,6;132,6
I 2009*;115,2;115,2;115,2;115,2;115,2;115,2
II 2009*;125,5;125,5;125,5;125,5;125,5;125,5
III 2009*;125,5;125,5;125,5;125,5;125,5;125,5
IV 2009*;127,2;127,2;127,2;127,2;127,2;127,2
I 2010*;113,5;113,5;113,5;113,5;113,5;113,5
II 2010*;127,5;127,5;127,5;127,5;127,5;127,5
III 2010*;128,5;128,5;128,5;128,5;128,5;128,5
IV 2010*;135,9;135,9;135,9;135,9;135,9;135,9
I 2011*;115,6;115,6;115,6;115,6;115,6;115,6
II 2011*;123,8;123,8;123,8;123,8;123,8;123,8
III 2011*;135,6;135,6;135,6;135,6;135,6;135,6
IV 2011*;142,7;142,7;142,7;142,7;142,7;142,7
I 2012*;132,9;132,9;132,9;132,9;132,9;132,9
II 2012*;156,2;156,2;156,2;156,2;156,2;156,2
III 2012*;152,8;152,8;152,8;152,8;152,8;152,8
IV 2012*;160,2;160,2;160,2;160,2;160,2;160,2
I 2013*;139,3;139,3;139,3;139,3;139,3;139,3
II 2013*;155,7;155,7;155,7;155,6;155,6;155,6
III 2013*;150,9;150,9;150,9;150,9;150,9;150,9
IV 2013*;161,6;161,6;161,6;161,7;161,7;161,7
I 2014*;141,5;141,5;141,5;141,5;141,5;141,5
II 2014*;156,4;156,4;156,4;156,5;156,5;156,5
III 2014*;150,3;150,3;150,3;150,4;150,4;150,4
IV 2014*;163,6;163,6;163,6;163,4;163,4;163,4
I 2015*;134,9;134,9;134,9;134,6;134,6;134,6
II 2015*;146,8;146,8;146,8;146,3;146,3;146,3
III 2015*;146,0;146,0;146,0;145,9;145,9;145,9
IV 2015*;147,1;147,1;147,1;147,9;147,9;147,9
I 2016*;131,6;131,6;131,6;132,8;132,8;132,8
II 2016*;139,0;139,0;139,0;133,7;133,7;133,7
III 2016*;136,7;136,7;136,7;145,0;145,0;145,0
IV 2016*;145,0;145,0;145,0;148,5;148,5;148,5
I 2017*;132,5;132,5;125,7;126,5;126,5;126,5
II 2017*;;131,4;131,1;125,6;125,6;125,6
III 2017*;;;131,2;133,4;133,4;133,4
IV 2017*;;;;141,1;141,1;141,1
I 2018*;;;;;129,1;128,1
II 2018*;;;;;;128,7
