fecha;IND_1T_17;IND_2T_17;IND_3T_17;IND_4T_17;IND_1T_18;IND_2T_18
I 1997*;87,4;87,4;87,4;87,3;87,3;87,3
II 1997*;105,1;105,1;105,1;105,0;105,0;105,0
III 1997*;97,5;97,5;97,5;97,5;97,5;97,5
IV 1997*;98,9;98,9;98,9;99,0;99,0;99,0
I 1998*;94,4;94,4;94,4;94,3;94,3;94,3
II 1998*;96,9;96,9;96,9;96,8;96,8;96,8
III 1998*;97,5;97,5;97,5;97,5;97,5;97,5
IV 1998*;100,5;100,5;100,5;100,7;100,7;100,7
I 1999*;92,2;92,2;92,2;92,1;92,1;92,1
II 1999*;95,8;95,8;95,8;95,7;95,7;95,7
III 1999*;88,1;88,1;88,1;88,1;88,1;88,1
IV 1999*;94,8;94,8;94,8;94,9;94,9;94,9
I 2000*;92,1;92,1;92,1;92,1;92,1;92,1
II 2000*;90,3;90,3;90,3;90,3;90,3;90,3
III 2000*;86,7;86,7;86,7;86,8;86,8;86,8
IV 2000*;87,3;87,3;87,3;87,4;87,4;87,4
I 2001*;85,8;85,8;85,8;85,7;85,7;85,7
II 2001*;81,8;81,8;81,8;81,7;81,7;81,7
III 2001*;79,9;79,9;79,9;79,9;79,9;79,9
IV 2001*;84,2;84,2;84,2;84,3;84,3;84,3
I 2002*;78,8;78,8;78,8;78,7;78,7;78,7
II 2002*;86,0;86,0;86,0;86,0;86,0;86,0
III 2002*;75,9;75,9;75,9;75,9;75,9;75,9
IV 2002*;71,6;71,6;71,6;71,7;71,7;71,7
I 2003*;71,6;71,6;71,6;71,5;71,5;71,5
II 2003*;83,1;83,1;83,1;83,1;83,1;83,1
III 2003*;83,0;83,0;83,0;83,0;83,0;83,0
IV 2003*;90,1;90,1;90,1;90,3;90,3;90,3
I 2004*;84,7;84,7;84,7;84,6;84,6;84,6
II 2004*;86,4;86,4;86,4;86,3;86,3;86,3
III 2004*;86,8;86,8;86,8;86,8;86,8;86,8
IV 2004*;95,1;95,1;95,1;95,2;95,2;95,2
I 2005*;88,6;88,6;88,6;88,5;88,5;88,5
II 2005*;99,3;99,3;99,3;99,2;99,2;99,2
III 2005*;101,1;101,1;101,1;101,1;101,1;101,1
IV 2005*;111,1;111,1;111,1;111,2;111,2;111,2
I 2006*;99,5;99,5;99,5;99,2;99,2;99,2
II 2006*;104,0;104,0;104,0;103,9;103,9;103,9
III 2006*;104,8;104,8;104,8;104,9;104,9;104,9
IV 2006*;110,9;110,9;110,9;111,3;111,3;111,3
I 2007*;110,8;110,8;110,8;110,6;110,6;110,6
II 2007*;106,2;106,2;106,2;106,2;106,2;106,2
III 2007*;114,1;114,1;114,1;114,2;114,2;114,2
IV 2007*;123,0;123,0;123,0;123,0;123,0;123,0
I 2008*;115,3;115,3;115,3;115,3;115,3;115,3
II 2008*;123,1;123,1;123,1;123,1;123,1;123,1
III 2008*;124,8;124,8;124,8;124,8;124,8;124,8
IV 2008*;127,7;127,7;127,7;127,7;127,7;127,7
I 2009*;117,8;117,8;117,8;117,7;117,7;117,7
II 2009*;129,1;129,1;129,1;129,1;129,1;129,1
III 2009*;133,2;133,2;133,2;133,2;133,2;133,2
IV 2009*;136,5;136,5;136,5;136,6;136,6;136,6
I 2010*;127,7;127,7;127,7;127,5;127,5;127,5
II 2010*;134,8;134,8;134,8;134,8;134,8;134,8
III 2010*;130,3;130,3;130,3;130,4;130,4;130,4
IV 2010*;137,1;137,1;137,1;137,2;137,2;137,2
I 2011*;133,3;133,3;133,3;133,2;133,2;133,2
II 2011*;141,3;141,3;141,3;141,2;141,2;141,2
III 2011*;138,1;138,1;138,1;138,1;138,1;138,1
IV 2011*;127,6;127,6;127,6;127,7;127,7;127,7
I 2012*;125,1;125,1;125,1;125,0;125,0;125,0
II 2012*;133,7;133,7;133,7;133,6;133,6;133,6
III 2012*;131,1;131,1;131,1;131,1;131,1;131,1
IV 2012*;129,2;129,2;129,2;129,3;129,3;129,3
I 2013*;125,7;125,7;125,7;125,6;125,6;125,6
II 2013*;133,0;133,0;133,0;132,9;132,9;132,9
III 2013*;129,8;129,8;129,8;129,8;129,8;129,8
IV 2013*;136,8;136,8;136,8;136,9;136,9;136,9
I 2014*;122,0;122,0;122,0;122,1;122,1;122,1
II 2014*;133,7;133,7;133,7;133,7;133,7;133,7
III 2014*;141,5;141,5;141,5;141,5;141,5;141,5
IV 2014*;150,0;150,0;150,0;149,9;149,9;149,9
I 2015*;135,5;135,5;135,5;135,7;135,7;135,7
II 2015*;145,3;145,3;145,3;145,3;145,3;145,3
III 2015*;144,3;144,3;144,3;144,2;144,2;144,2
IV 2015*;149,1;149,1;149,1;148,8;148,8;148,8
I 2016*;135,9;135,9;135,9;136,3;136,3;136,3
II 2016*;141,6;141,6;141,6;141,9;141,9;141,9
III 2016*;146,7;146,7;146,7;147,5;147,5;147,5
IV 2016*;152,4;152,4;152,4;152,5;152,5;152,5
I 2017*;133,7;133,9;133,9;134,9;134,9;134,9
II 2017*;;132,6;132,6;134,2;134,2;134,2
III 2017*;;;135,3;136,7;136,7;136,7
IV 2017*;;;;151,9;151,9;151,9
I 2018*;;;;;138,7;138,6
II 2018*;;;;;;143,3
